Context,Response
"I have been married for 11 years. Within the past 2 years we have drifted far apart. We coexist together but there is very little personal interest in each other. I often feel that my husband has ""friends"" at work that he is more emotional invested in than me. I feel very alone and just uncared for.  Is there anything I can do to feel reconnected?","Feeling alone in your marriage is one of the most painful feelings. Wanting connection with your spouse yet feeling the all too familiar distance that's keeping you apart can be so hurtful. But, change is possible. You might be able to move closer toward each other on your own but since there has been two years of distance, I would suggest looking into couples therapy with a trained couples therapist. They are trained in helping couples begin to examine what's been happening that has caused a drift in your marriage. I'm also curious if there was a significant event that occurred around the time you started feeling distant. If there was something that occurred during this time that is hard for you both to talk about, couples therapy can help with this also. It can provide a safe and supportive space for you both. "
"He said he would try and he never did. It's been nine months, and this is making me worse. Today, he said I have to respect whatever decision he makes. Is that true? Am I supposed to respect the decision to leave because he can't handle what I'm going through and leaves me here crying and worried every night? He's constantly changing his mind on if he wants to work it out.","I'm sorry for the hurt you're feeling from your husband's decision.Keep in mind that if one partner does not want to be in a relationship and remains in it, then both people will be unhappy, dissatisfied and feel stressed.Imagine being in a relationship that you'd rather leave.All the negative feelings and resentment of being with someone whom you'd rather be without, would not leave very much energy to satisfy your partner.I'm glad you realize that you feel depressed.Depression is a mood that can change once you understand what is causing it.Depression is an area that very often therapists help their patients understand, and emotionally support and encourage them during the course this takes.For now, concentrate on decreasing the tension in your life.  Your husband's indecision may very well be adding to your stress.Only he can make up his own mind.As hard as this may be, all you really can do is take care of how you feel so that you will feel better.From what you write, your husband is too unsure to offer you the love and care you'd like from him.Learning to love oneself is always worthwhile.   At this stage in your marriage, now sounds like an ideal opportunity for you to teach yourself self-love."
"I'm always told I'm not good enough or trying hard enough. I put 100% in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from.  Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","Hi, I'm Amelia! Oh, this is a common problem, unfortunately! Let me say first of all, that doing more, giving more, loving more, performing more will never provide you with a sense of worth. Nor will it satisfy those that are critical and judgmental. I am so sorry to hear that this is what you've heard all your life! You are a human BEING not a human DOING.If you can get yourself in counseling with a trusted therapist who will accept you, encourage you, hear you and support you, you can begin to work on what truth worth is.  My best to you!"
"I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friends, family, at work, and mainly alone, I cannot think straight. I no longer feel like myself.","It is common to go through a stage of adjustment after a breakup, which may include depression symptoms. I recommend practicing self-care:  stressing on balancing your life with healthy eating, exercise, resting and looking at your spiritual life.  These steps should assist you in giving your body and mind some balance.  Practice cognitive reframing, this is training your brain to refocus, and stay on task.  Meditation is a great tool to clear your mind during the day as well; there are multiple apps that help. If the problem persists a therapist could assist you in learning to focus and process those thoughts and feelings that cloud you mind.¿Cómo puedo manejar la depresión después de una separación?He estado cayendo en una depresión profunda que no me permite funcionar durante el día. El único memento en el que estoy en calma es cuando duermo.  Si estoy con mis amigos, familia, en el trabajo o a solas, no puedo pensar claramente. Ya no me siento como yo.Es común pasar por un estado de ajuste después de una separación, y este ajuste puede incluir síntomas de depresión.  Recomiendo que practiques auto compasión: esforzarte en balancear tu vida comiendo saludable, ejercitándote, descansando y analizando tu vida espiritual.  Estos pasos te ayudarán a balancear tu mente y cuerpo.  También puedes practicar reenfocar tus pensamientos para mantener tu mente clara. La meditación es una buena manera de practicar el enfoque mental, y existen muchas aplicaciones que te pueden ayudar.  Si el problema persiste tu consejero te puede ayudar a aprender técnicas de enfoque a procesar pensamientos  o sentimientos que te estén afectando. "
I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,"Hi there, first off I have to commend you for reaching out. It takes a lot for a man to reach out for help when it comes to erection problems. Believe it or not, this problem is very common for men and women. There are some things that you can try naturally, before resulting in medication, such as your eating habits and exercise. I would suggest taking a look at what you are consuming throughout the day. Do you consume a healthy diet and do you exercise regularly? How much caffeine and sugar do you intake daily? These are just a few common things to look at. You would be surprised of how much pressure what we consume puts on our bodies. Our bodies are like a car. You have to maintenance it, in order for it to continue to run. If you would like to get further natural advice and/or suggestions on eating healthy and exercising, I would recommend you see a nutritionist. A nutritionist specializes in maintaining a healthy diet. As far as your Doctor, I would recommend looking into getting another Doctor. I have never heard of a medical professional not wanting to talk about anything. That appears to be a personal issue on their part. I hope I was helpful and I wish you the best of luck!"
"I'm a teenage gay girl, and I'm in love with a girl a few years older than me. She loves me too, but we're not physically together at the moment. I've been thinking about being transgender soon too, but my family doesn't accept me, so I honestly don't know what to do about that because I feel like I have to constantly hide the real me. It hurts so much to hide the real me. What can I do?","They would probably be helpful to speak with a local mental health professional about this, not because there's anything wrong with the real you, but because having these conversations can be difficult and you may choose to talk about your real self in different ways with different people.Maybe you could talk about your concerns with your significant other and discuss different ways you may be able to discuss your relationship that fit with how each of you defines your love for one another.Because you are saying openly that you are gay, and it sounds like you already identify yourself as gay, as compared to considering being transgender ""soon,"" it may be worth considering disclosing the fact that you are gay now and disclosing the idea that you are transgender after you have worked through that yourself. I would like for you to be able to be true to yourself and show the real you. It could also be that you already know that you are transgender, but with the way that you  phrased it here, I'm not certain.Here is a link to a hotline that you may want to consider using. The Trevor Project is about helping teenagers who identify as LGBTQ: http://www.thetrevorproject.org/Here is another national site where you may be able to find a local chapter: https://www.pflag.org/I don't know what you mean when you said that your family will not accept you, but since you are concerned about your family's reaction, I would suggest that it may be helpful to have a therapist or some other support in place before telling your family. The decision of whether or not to wait longer to tell them is ultimately yours, but I wonder if you have a likelihood of explaining what you are experiencing in a way that would be truer to you and also perhaps easier for your family to follow if you had time to process it with supportive people first.Please remember that you are not alone in this. There are people in the world who can and will accept you for who you are."
"Every time I send a message to someone or a group message on Instagram, iMessage, or snapchat people will read my messages but then they won't answer me. 

Could it be that there is something they don't like about me? I don't understand why they won't answer my messages. How do I get people to respond to me?","I'm sorry that you are having a difficult time.I wonder about how your friendships are in person. If you get along well with people and have effective conversations with them face-to-face, there could be some kind of technology-related problem.Have you tried gently talking to people about how you send a message and they didn't answer? If you can phrase it in such a way that they recognize that you are asking for information and not blaming them for not answering you, that could be effective.I'd also encourage you to consider how much this is bothering you. If it is causing a significant amount of anxiety (say, more than 5/10 if 10 is really anxious), I would suggest talking with a local therapist.In the meantime, consider talking about this with someone you trust to whom you can get more details to get a more specific answer."
I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.,"I imagine that it's pretty disconcerting to feel as though you lost yourself.When you said that you are jaded, I'm not sure whether you mean that you are jaded toward someone, something, life in general, or some combination thereof.One of the difficult things about anxiety is that anxiety can lead to more anxiety because of being concerned about having another panic attack. Consider remembering that panic attacks usually only last a few minutes and the reason they don't go away right away is because of the way your brain releases chemicals because some part of your brain is reacting as if you are in danger in some way.As far as finding yourself, you may consider looking at what parts of each day you can control as a way to stay centered. You could also focus on something that makes you feel happy and/or comfortable.You may also consider the list of values here to give yourself an idea of what is most important to you, what it is that you are living by now, and what values you would prefer to live by. http://www.therapistaid.com/therapy-worksheet/values-clarificationIf this proves to be difficult, consider seeing a local therapist."
"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month.  I want someone who is more present and more of a life companion.
Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want.
We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.","It sounds like you have some insight into the cycle that you describe with your current relationship and at the same time you are still feeling stuck. It also sounds like the distressing feelings that you experience, when you imagine what will happen for you and your current partner, are pretty overwhelming. A competent therapist may be able to help you work through these difficult thoughts and feelings and find a resolution to this cycle that will feel right to you."
"I have attention-deficit/hyperactivity disorder, posttraumatic stress disorder, anxiety, anger, and memory problems. I can't work. I have no income. I'm on medicine, but I feel worthless. I want to be normal.","I am so sorry to hear that you are struggling.  It sounds like you've had a traumatic experience that has impacted your life in many ways.  Without knowing much about your history, I wonder if the trauma you suffered has lead to the anxiety, anger, and memory problems you are dealing with, in addition to PTSD.  I would encourage you to look for a trauma therapist who offers a sliding scale or pro bono services.  There may also be community mental health services in your area that offer free therapy if you are eligible for grant."
"I was in a car accident and totaled my car. I gave up my job of nine years to pursue school full-time to better myself. I failed a class, and my boyfriend that I live with thinks I’m stupid and wants to break up with me. I have nowhere to go, and I feel like I’m losing everything.","When we feel overwhelmed by life situations, it is important to understand where the feeling is coming from.  Once we understand the source, it is important to normalize the situations that got us there and find balance in our lives.First, car accidents are common, and since they are accidents they are not a reflection of us.   When we have an accident we feel anxious, worried, and may have some trauma after the accidents.  If you have been experiencing anxiety since the car accident, talk to your doctor or therapist about it.  Second, a lot of people fail classes, tasks, deadlines, etc. but they don’t give up on their goal.  We have to remember that failing is part of the learning process, and having the courage to try again is what gives us determination and character.  Remind yourself what motivated you to leave your job, and the courage and determination that took to do so, then channel that energy back into school.  Third, when we have problems in our relationships, is helpful to look for ways to improve communication, discuss our concerns and how we want to resolve them, but it may be that the relationship needs to end if there isn’t enough interest in one of the parts or if there’s verbal or emotional abuse.  Consider talking to your boyfriend and set some boundaries regarding appropriate communication.At all times:  focus on being kind to yourself and improving your self-esteem: increase self-care activities, do more things that you enjoy, meditate in what gives you peace and make an effort to have more of that in your life.   At the end, you are the one in control of your life, and you determine who you become.¿Qué puedo hacer cuando siento que mi vida está fuera de control?Estuve en un accidente de auto, y fue pérdida total.  Deje mi trabajo de 9 años para completar un grado a tiempo completo.  Falle una clase, y mi novio piensa que soy estúpida, el quiere dejarme.  No tengo a donde ir y siento que lo estoy perdiendo todo.Cuando nos sentimos agobiados es importante reconocer donde estamos parados y entender de donde vienen esas emociones.  Ya que entendemos la fuente de agobio, es importante normalizar las situaciones que lo causaron, y volver a encontrar el balance en nuestra vida.Primero, los accidentes de auto son comunes, y por ser accidentes no son un reflejo de nosotros o nuestras destrezas.  Cuando experimentamos accidentes no s sentimos ansiosos, preocupados, y puede que experimentemos algún trauma.  Si sientes ansiedad, extrema preocupación habla con tu doctor o terapista al respecto.  Segundo, muchas personas fallan clases, tareas, fechas de entrega, pero no se rinden.  Tenemos que recordar que fallar es parte del proceso de aprendizaje, y tener el valor de intentarlo de nuevo, es lo que nos da determinación y carácter.   Recuerda que te impulsó a dejar tu trabajo y canaliza esa energía en la escuela.  Tercero,  cuando tenemos problemas en las relaciones, es importante comunicar nuestras preocupaciones y diferencias, pero puede ser que la relación termine si no hay interés mutuo o si hay algún tipo de abuso.   Considera hablar con tu novio y establecer límites respecto a la comunicación apropiada.En todo momento: enfócate en cuidarte a ti misma y mejorar tu autoestima, aumenta las actividades que te ayudan a sentirte bien, medita sobre lo que te paz y pasa más tiempo practicando esas actividades."
"My boyfriend’s sneaky and puts his friends before me. He fights just to leave. One day, he's happy. The next, he's mean and blames me for everything. He can't admit faults. He thinks he's perfect and does no wrong.","Hi, Ontario. I live in the other Ontario; in Canada. I'll try to help you sort this out. You have a long list of complaints about your boyfriend! It sounds like he's maybe a bit immature and moody, and these things affect you, for sure. I get it. It's got me curious, and if I was working with you, I'd want to know a lot more about how long you've been together and what's actually working well between you two. I would also ask a lot of questions about the details of your description. What tells you he's 'sneaky'? Does he lie? How do you know he lies to you? Also, are you wanting to make things better with him, do you just want an ear to vent to, are you looking for validation, or do you hope someone will help you wake up to an unhappy situation?  It helps me if I know what you want.Whenever I meet someone who has a lot of complaints about their partner or boyfriend, I encourage them first to look at the language they're using. Some of your words tell me that you think you know what he's thinking (that he wants to fight so he can leave, that he thinks he's perfect). It's always tricky when we assume what someone's thinking, and in an argument or dialogue, these kinds of statements tend to lead to defensiveness and an escalated argument. I'd encourage you to focus on his actual behaviours and how they affect you, rather than the motives or beliefs you think are behind the behaviours (because you really can't know what he's thinking unless he tells you). As a general rule, the ""When you do X, I feel Y"" sentence goes far in helping others understand what we feel.So, it's fair to say ""when you lie to me, I can't trust you"", or ""when you end our date early to hang with your friends I feel like I'm not important to you"", or ""your mood swings are difficult for me"", or ""I don't seem to get apologies from you"". Try to focus on his actual behaviour when you talk to him about this stuff. A relationship counsellor can help you each understand the other better beyond the surface behaviours if you want to improve the relationship.That said, I have to ask...if you haven't been with Mr. Not So Great for very long, is it maybe time to rethink the relationship? Unless there is a balance of really loving and positive behaviours that you're leaving out, you don't seem happy. A good therapist can help you understand why you are stuck in an unhappy relationship, if that is what's happening. There's a lot to sort out here...how to communicate about your needs, how to know when to call it quits if something doesn't feel good... I wish you the best as you continue to examine these questions with assistance from friends or professionals."
"Sometimes, I'm fine and can go out or meet people, but other days, my heart races and words physically cannot come out of my mouth. I've always thought it was normal and I was just nervous, but the other day, it took me almost 30 minutes of sitting in my car to find the courage to enter Target by myself.","Your, sitting in your car for 30 minutes, story sounds so sad and frustrating.Yes, you're describing classic symptoms of anxiety.Anxiety itself is the indirect result of repeatedly being in positions of feeling helpless or frightened.Are you able to recall from your growing up years of feeling insecure?You may not have felt loved and nurtured as much as you needed.Some people develop anxiety from missing enough love.  They feel lacking in ability to take care of themselves, similar to the lack of being sufficiently taken care of when younger.Try understanding if you felt neglected emotionally.If ""yes"", then start the slow process of emotionally rewarding and acknowledging yourself.Progress will be slow.Eventually you'll stabilize the way you feel toward yourself.This will gradually result in decreased anxiety."
I haven't been feeling like myself lately. I've been upset for no reason and feeling anxious. I'm feeling burnt out. What can help me feel better?,"There's no such possibility that you're upset for ""no reason""!The reason is not obvious, not that you are feeling upset in response to nothing at all.What can help you feel better is to be kind and gentle with yourself because this sort of approach will more likely relax your mood and mindset enough for the tension and anxiety you feel, to dissipate somewhat.Try to understand whether certain situations or interactions remind you or feel similar to ones which distressed you before.This may be the reason for your anxiety.It is good news that you know the difference between your usual sense of yourself and that you've been away from this feeling.Give yourself a little credit for understanding yourself.   Giving credit adds confidence and confidence will help you find the reasons and new ways to handle your anxiety."
"He was in love with someone years ago, and he still thinks about her time to time. He said, and I quote, ""That relationship is definitely over. I love you, but that girl will always be in my mind."" It just didn't feel like he appreciated all the things I've done to make him happy.","It sounds like you were in a tough spot here.I'm not able to tell you whether or not you made a mistake because the decision is yours. I am wondering what led you to ask whether you made a mistake and whether you wish you were still in the relationship with this guy. If so, is it an option to talk about this with him?If you decide to get back together, consider having some conversations about what your concerns are and taking about five minutes or so to listen to this guy's thoughts, feelings, etc. Then see if you can repeat the essence of what he said to make sure you have it right. Then maybe you can ask some questions that you have and see if he is willing to listen. When each of you is in the role of asking questions, try to ask them as if you are an investigative reporter trying to learn more about each other's experience.If you are looking for information on coping with breaking up and you don't want to get back together or that's not an option, consider looking at how you define yourself and what is most important to you at this moment. I hear you saying you've done a lot of things to make him happy. I'm wondering what is making you happy. Hopefully you have friends or family that you can trust and talk to. Even if you don't talk about your relationship with all of them, I hope you have some people around whom you can be emotionally safe and comfortable."
My grandson's step-mother sends him to school with a pink Barbie backpack as a form of punishment.,"Parents are to teach discipline to children, not punishment.   Punishment is another word for wanting to cause hurt.  There is a different in discipline and punishment.  Punishment could have long term affects on a child's self image and growth.  It can lead to others issues such as bullying from peers as well.  Whatever your grandson has done, there is a much better way of getting him to understand that his actions are not acceptable.  Punishment is not one them.  Encourage the step-mother to build a positive relationship with him, this way he will learn to respect and trust her.  His actions would improve.  She may need to attend a parenting class for blended families.  "
"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family.
However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. I'm not sure how to move forward?","To begin, I'm sorry to hear about your situation. Like many of the professionals have stated, infidelity is a very difficult obstacle to move forward from. It's not impossible. While forgetting is probably the hardest part, forgiveness is something that can and will happen. There are things you can do to help yourself. The first this is identifying what you feel is best for yourself and your children. That means being honest with how you feel being in this relationship on a daily basis and understanding how it's affecting you. Second, how is your relationship affecting the children. Do you feel that by staying in the relationship that it's affecting your daily interaction with them. If so, that' something to keep in mind. Next, Really looking at the pros and cons of staying in the relationship. A specific breakdown of what benefits come with staying and what are the ramifications. Vice-versa for leaving. Include your partner. I think being honest with him and letting him know what you are thinking is could be a great option. At least you aren't keeping something inside yourself to manage. Rather, you are being transparent to them. Sometimes a couple can come to an agreement that it may be time to end things and other times it may be best to keep moving forward with a serious plan to how to move forward. Regardless, if you can't trust him and that feeling will never go away it's time to address it. Couple therapy can be beneficial as well as a therapist can provide professional counseling to you. Earl Lewiswww.RelationshipsGoneRight.com"
"I have known I was always different. This year, in December, I found out that I never felt female. I did research and have identified myself as male but don't know how to tell my dad.","Hello, and thank you for your question. This is certainly a tough spot. I have a few thoughts and perhaps some colleagues will add some things. You may want to spend a few minutes calling to mind any conversations that you have had with your father about transgender issues, or if you have ever heard him talk about it. That may give you a small clue about how well he may accept this news from you. For example, if he has been watching the news lately, transgender rights is something that is being talked about a lot. Has he had an opinion? This won't tell you for sure if he would be okay with learning you are transgender, but at least you would know if there is hostility toward transgender people. To tell you the truth, the best way to tell your dad is whatever way feels right to you. There is no right or wrong way, best or worst. If you want to tell him when you are by yourself with him? That's perfect. Want to have a friend with you for support? Equally perfect. Whatever thing you need to do. And, of course, there is always the option of not telling him anything until you are comfortable doing so. Unfortunately, the response from your dad can't be predicted. Some parents are totally cool.... others not so much. This is one reason why having someone with your for support is sometimes a good idea. If things get heated, you have someone in your corner. There are therapists who specialize in affirmative therapy, and they may be very helpful to you in working out how you want to tell him. You can also Google some stories about how others came out.I refer many people to the www.letsqueerthingsup.com blog. It is a popular blog written by a trans man that I know. He writes on many topics related to trans issues. Hope some of these suggestions help. Be well... be you.. and good luck!Robin J. Landwehr, DBH, LPC, NCC"
"I'm currently struggling with diagnosed depression, anxiety, and Misophonia. Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder. I read the DSM-IV, taken college psychology, etc. I know it in my heart I have them. Is self-diagnosing okay with the right research?","Hello, and thank you for your question. Self-diagnosing is something that we all do about one health issue or another. Taking a guess about what may or may not be happening to us is completely normal, however the actual clinical diagnoses of a mental health disorder requires a licensed mental health professional. Here are a few reasons for this: 1. Making a clinical diagnosis often requires other things besides matching up the symptoms of a disorder. To come to a diagnoses for any of the things you mentioned, a counselor would consult the DSM, but they may also use some type of screening tool, assessment or scale. Many disorders have similarities and it requires someone with training to tease out the differences in the symptoms. 2. Our judgement is sometimes off when it comes to assessing ourselves. We really can't be objective. Something as serious as determining a diagnosis really needs to be done by someone who has that objectivity. In addition, once you know your diagnosis, treating it usually requires help from a professional. 3. Sometimes the symptoms of a mental health disorder makes self-diagnoses impossible, in and of itself. For example, someone could be having hallucinations or delusions and not realize it. That would clearly make it impossible for them to diagnose themselves. There a many examples where something like this could happen with different mental health disorders. There are other reasons, but these are three important ones. Now, does this mean that you are wrong about your diagnosis? Maybe not. You may be correct. But, it is important to get this confirmed by a professional mental health clinician. If a disorder is then found, you can begin to talk about treatment. Hope this was helpful. Be well.Robin J. Landwehr, DBH, LPCC, NCC"
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","I would check out agencies that offer affordable counseling based on your income or very low cost counseling sessions, i.e., Pacific Clinics, Hathaway Sycamore, Pasadena Mental Health Center, Burbank Family Center. If you google affordable or low cost therapy in your particular area you will find resources to help you."
I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"Yes, feeling nervous for the first few or several sessions of therapy, is completely normal.Therapy is an unusual way to have a conversation with someone.   The person is an expert in recognizing and understanding dynamics of human interactions.   For some people the fear is that the therapist knows more about you than you do yourself.In general terms hopefully your therapist has worked with many other people who've faced problems similar to yours.In this sense the therapist has a general idea of the basic dynamics you most likely are handling.No therapist could possibly know your particular details and your particular areas of upset or in what ways you feel unsure of yourself.Once you start to trust both your own right to tell your particular story and start to also feel that your therapist is listening attentively and cares what you tell the person, your nervousness will start to disappear all on its own.Good luck in getting the most from your therapy sessions!"
"My last relationships have ended horribly. They just up and abandoned me. One of them I have never gotten closure with over it, leaving me emotionally wrecked. I know something's wrong with me but I don't know how to even start trying to better myself.
I get into these depressed like states whenever anyone I care about is too busy to be with me. I know that I shouldn't act like that because people are genuinely busy, but I feel like they're doing it just because they don't want to be around me.","Frequently when working with clients, I utilize the A-B-C model developed by Albert Ellis, the founder of Rational Emotive Behavior Theory. The theory basically states that you can not control an event but you can control your reaction to the emotions associated with said event. For instance here is an example:A (Action or Event): You need to talk to someone and that person is not calling you back.B (Behavior or Response): You begin to tell yourself that this person is too busy for me or I am not important to this person.C (Consequence): You feel depressed.If you look at the model, B has a direct effect on C. The thought is if you change your reaction to A, then C will have a better consequence, such as:A: stays the same.B (this is what you change): This person must be busy, they will call me back when they get a chance or I can call someone else to lean on for support until this person is available.C: Decreased feelings of depression & overall functioning improves.This is just an example but if you actively work to replace the negative thought patterns that effect your behavior, studies show that your overall outlook and mood will improve. If this model resonates with you, I recommend ""Feeling better, getting better, staying better"" by Alber Ellis. In addition, looking for support groups in your area are a great source of support when you are feeling abandoned or alone."
"I have known her for years. She was dating my brother-in-law when we met. My kids think of her as their aunt. On Halloween 2014, I lost my mom to cancer. My mom and dad were still married when she passed away. My friend was there for me through that and my own cancer diagnosis. She has been a very big part of both me and my kids’ life, but now last month, my dad told me that he really likes my friend and wants to marry her. She’s like a sister to me. My kids hate the idea.","Hi Lincoln,It can be very difficult for children who have lost a parent to then see their other parent moving forward with anyone, so I understand how this change is even more upsetting to you. And...your father and your friend have clearly established a friendship and fallen in love. Did you see this coming? I hope they didn't hide it from you. If they did, maybe this is the issue? It would be a legitimate one.But in the end, your father, and your friend, are adults who are free to fall in love with whomever they wish and hopefully they can count on the support of people who trust and love them. Could there be blessings here you haven't seen yet? It seems you love this person who is like a sister; could it be a good thing that her place in your life is more permanent?Ask yourself these questions... ""What is the worst part of this?"" ""What do I fear losing?"" ""What do I fear at all?"" ""What is the evidence that this will happen?"" The answers might surprise you. Your children will follow your lead. If you are supportive of their grandfather, they will follow suit. Hopefully you can grieve the change, know that your mother would likely want both of them to be happy, and embrace the blessings that come with having this woman close to you in a new way. I wish you the best."
"I'm being verbally abused on a daily basis by my parents in front of my child. I feel like I’m trapped and I have no escape. I feel like I have to listen to the horrible things they say and just take all of it.
   I need some way of learning how to cope with listening to it especially since I have nowhere else to go. I feel very emotionally drained How can I deal with this?","I think one of the best things to pass on to our children, or simply one of the best lessons in life, is to learn when to internalize (it's an issue in me) and when to externalize (it's an issue in them), as well as always finding the balance of the two.In this case, you don't seem to be the issue. Sure, living with your parents with your child probably is not your dream scenario, nor your parents'. But, there are ways to process that without someone feeling abused, and your parents clearly have zero ability or boundaries if they are willing to verbally abuse you in front of your child, and their grandchild. If there is a reason they are doing so, I'm sure they think they have a good one. However, the dynamic that they are willingly setting up is problematic. And it is THEIR problem. However, by being strong and not taking in someone's verbal abuse, you are going to role model for your child how it's about what is inside of you, your own drive, that will be what is important, NOT what others say about you. It's important to always come back to yourself inside, and seeing the good that is in you (or even just noticing that it's there, if you can't quite see it in its entirety.)I would also advise your parents to think about their own role modeling."
"I've been with him for a couple months. We will talk everyday and he will get mad over something I will say and not talk to me. We have our great moments, but I just need to focus on my personal situations, and I feel he is slowing me down with that. I still wanna be with him, but not now.","I have learned that the best approach is to say that you need the time to get yourself together, mature, learn, outside of a intimate relationship but just in a friend to friend relationship...don't blame him or point fingers at him.... most likely if you did that it would not go well.  If you make it about you and that you want the best for him while you work on self, it would be taken better.  "
"She treats me like I'm not in her presence. She’s always yelling at me for no reason. She gives more respect to my brothers than me, but only my brothers fight her while I respect her.","Attention is not equal to love and being valued. It may be precisely because your brothers demand so much more your mom's attention through fighting with her that she pays more attention to them. It is a common situation in families where the ""squeaky wheel gets the grease"" and the siblings or family members who don't demand as much attention end up feeling invisible. It sucks to feel invisible and it is important that there is attention for you and that you know how much your mom loves and values you.  This sounds like an important conversation to have with your mom and if she is not able to really understand or help you address this concern you may want to suggest doing some family therapy where a skilled therapist can help you and your family work this out. "
"I've been with him for a couple months. We will talk everyday and he will get mad over something I will say and not talk to me. We have our great moments, but I just need to focus on my personal situations, and I feel he is slowing me down with that. I still wanna be with him, but not now.","Why don't you just tell him everything that you just wrote here?You're clear in your mind as to what you would like.Unless you have a whole either side to the way you feel, everything you wrote here explains your position very well.Good luck in having your conversation!"
"I am broke, but I am sure I have been depressed for the past couple of years. I have always had anxiety. I just need someone to talk to right now. I don't have any friends or family I can talk to. I'm on the verge of just giving up.",Good question. There are resources out there - people to talk to. I'd try going to this link and calling the free 24/7 hotline: http://www.suicidepreventionlifeline.org/
How do I decide if I should end my relationship with my boyfriend?,"Deciding to end a relationship is never easy, especially if there is not any strong reason or incident standing out to help define the unhappiness in the relationship, such as infidelity or abuse.  All relationships go through low periods where one or both people may feel unhappy in the relationship, this is normal.  What I tell my clients when they are facing this decision is to spend some time and imagine your life without the person in it.  What do you feel when you imagine your life without your boyfriend?  Do you see yourself as being happier, having more freedom?  When you think of life without him do you feel a weight lift off your shoulders?  Is it easier to breathe?  Don't rush into any decision about leaving the relationship.  Take as much time as you need to fully understand what it is you are feeling right now.  Ask yourself if some of the unhappiness in the relationship can change, if it is likely to change.  Only when you are confident in your decision to leave should you then have the discussion about leaving the relationship.  I hope this answer gives you some ways of thinking through how to make that very tough decision."
I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"It is absolutely normal to be nervous about therapy.  Many people take years to make the decision to start counseling and although it is a safe place to explore feelings, it may be the first time you are facing certain issues.  It takes courage to face issues head on.  Being nervous is part of the process.  The fact that you are continuing to go to therapy sessions despite feeling nervous demonstrates your strength.  Keep it up!"
"A friend of mine taking psychology advised I go to my doctor to check if I have major depressive disorder. I'm afraid of the consequences of doing so. If I do become diagnosed with major depressive disorder, won’t that go on my records? I will never be able to become a counselor along with a list of other things I may be prohibited from. I’m also afraid of taking any anti-depressants. This year, my doctor gave me some for a ""dislocated hip."" I had a severe reaction and passed out moments after taking them. Everyone I know who has taken anti-depressants says it’s a bad idea all around and you’re better getting treatment without them. I’m concerned they might take me to a clinic and force me to take medication because I am unable to make decisions on my own. I’m not really suicidal, but I am not really taking care of myself either. Someone also told me they still use electroshock therapy. I’m not keen on that. I’m wondering if I am better off just getting self-help and working things out on my own. It’s just that I've been an emotional mess since I was in elementary school. I’ve graduated now and tried to stay positive and be happy, but I cannot deny I still am not good.","I admire your courage for stating your view about anti-depressants.  Questioning mainstream thinking and being in touch with your own views, are signs of strength and clarity in a person.As a therapist, I always tell my patients to avoid anti-depressants.Their effectiveness is in suppressing a person's mood and feelings.  If someone does not know how they are feeling, then they will have more difficulty in understanding themselves, their uncertainties and hesitations, and overall, how they relate to others and what they expect from others.Anti-depressants mask how someone feels.In a crisis, temporarily taking anti-depressants may be helpful.  If someone is so overwhelmed that they are not functioning, then  suppressing unhappy feelings so that the person can get through a day, may be of benefit for a short while.Basically, respect and follow your own opinion about anti-depressants.   Your view is shared by many.   It is a minority opinion, and very valid. If you would like to shop for a therapist, ask the person on the phone, what their opinions are about anti-depressants.Ideally, you will eventually find a therapist who thinks in a way which is similar to you, or at least similar enough that you will have a sense that you are able to trust working with them on whatever you define as problematic.I hope you will have an easy and productive therapist search!"
